default_setting_begin	type=mother_tree	hp_regen_bonus=2	mp_regen_bonus=1	default_setting_end
default_setting_begin	type=damage	damage_on_hp=200	damage_on_mp=0	default_setting_end
default_setting_begin	type=poison	skill_name=[s_area_a_speed_down]	default_setting_end
default_setting_begin	type=swamp	move_bonus=-50	default_setting_end


//Below	water	volume	(must	be	above	the	head	of	a	family)
//16_21
area_begin	name=[16_21_water1]	map_no={16;21}	type=water	water_range={Min:(-131071.984375	98303.992188	-4780.006836)	Max:(-98303.984375	131071.992188	-3780.006836)}	area_end

//The	village	which	is	a	flow	1	(20_23)
area_begin	name=[floran_town_peace1]	map_no={20;23}	type=peace_zone	range={{18134;169527;-3957;-3357};{18602;169760;-3957;-3357};{18641;169827;-3957;-3357};{18429;170529;-3957;-3357};{17386;170916;-3957;-3357};{16777;170706;-3957;-3357};{16555;170564;-3957;-3357};{16530;170497;-3957;-3357};{16732;169864;-3957;-3357};{17253;169433;-3957;-3357};{17396;169394;-3957;-3357};{17768;169440;-3957;-3357}}	area_end

//The	village	which	is	a	flow	2	(20_23)
area_begin	name=[floran_town_peace2]	map_no={20;23}	type=peace_zone	range={{17082;169410;-3967;-3367};{17464;169397;-3967;-3367};{17285;169889;-3967;-3367};{16773;170007;-3967;-3367};{16717;169945;-3967;-3367};{16823;169466;-3967;-3367};{16882;169431;-3967;-3367}}	area_end

//The	village	which	is	a	flow	3	(20_23)
area_begin	name=[floran_town_peace3]	map_no={20;23}	type=peace_zone	range={{18487;170499;-3956;-3356};{18390;170915;-3956;-3356};{18343;170933;-3956;-3356};{17768;170965;-3956;-3356};{17223;170891;-3956;-3356};{16878;170752;-3956;-3356};{18430;170079;-3956;-3356};{18543;170093;-3956;-3356}}	area_end

//The	characteristic	village	which	is	a	flag	12	(22_22)
area_begin	name=[giran_town_peace12]	map_no={22;22}	type=peace_zone	range={{85048;145756;-3464;-3264};{86104;145752;-3464;-3264};{86100;145888;-3464;-3264};{85060;145856;-3464;-3264}}	area_end

//The	characteristic	village	which	is	a	flag	1	(22_22)
area_begin	name=[giran_town_peace1]	map_no={22;22}	type=peace_zone	range={{77164;147420;-3654;-2654};{79291;147417;-3654;-2654};{79278;149808;-3654;-2654};{77155;149824;-3654;-2654}}	area_end

//The	characteristic	village	which	is	a	flag	2	(22_22)
area_begin	name=[giran_town_peace2]	map_no={22;22}	type=peace_zone	range={{79193;144776;-3598;-1598};{85019;144748;-3598;-1598};{85148;149864;-3598;-1598};{79198;149858;-3598;-1598}}	area_end

//The	characteristic	village	which	is	a	flag	3	(22_22)
area_begin	name=[giran_town_peace3]	map_no={22;22}	type=peace_zone	range={{79180;149311;-3602;-2402};{83508;149374;-3602;-2402};{83510;151272;-3602;-2402};{79197;151297;-3602;-2402}}	area_end

//The	characteristic	village	which	is	a	flag	4	(22_22)
area_begin	name=[giran_town_peace4]	map_no={22;22}	type=peace_zone	range={{85619;150120;-3636;-3036};{86004;150125;-3636;-3036};{86005;152300;-3636;-3036};{85617;152305;-3636;-3036}}	area_end

//The	characteristic	village	which	is	a	flag	5	(22_22)
area_begin	name=[giran_town_peace5]	map_no={22;22}	type=peace_zone	range={{84848;152234;-3799;-2399};{86779;152240;-3799;-2399};{86781;153610;-3799;-2399};{84844;153610;-3799;-2399}}	area_end

//The	characteristic	village	which	is	a	flag	6	(22_22)
area_begin	name=[giran_town_peace6]	map_no={22;22}	type=peace_zone	range={{84922;146919;-3872;-1872};{88437;146909;-3872;-1872};{88445;150047;-3872;-1872};{85090;150032;-3872;-1872}}	area_end

//The	characteristic	village	which	is	a	flag	7	(22_22)
area_begin	name=[giran_town_peace7]	map_no={22;22}	type=peace_zone	range={{80304;143626;-3810;-2110};{85033;143631;-3810;-2110};{85029;144930;-3810;-2110};{80298;144914;-3810;-2110}}	area_end

//The	characteristic	village	which	is	a	flag	8	(22_22)
area_begin	name=[giran_town_peace8]	map_no={22;22}	type=peace_zone	range={{79190;150958;-3538;-3338};{82705;150962;-3538;-3338};{82717;152824;-3538;-3338};{79202;152821;-3538;-3338}}	area_end

//The	characteristic	village	which	is	a	flag	9	(22_22)
area_begin	name=[giran_town_peace9]	map_no={22;22}	type=peace_zone	range={{84838;145789;-3496;-2996};{86101;145774;-3496;-2996};{86105;146911;-3496;-2996};{84842;146925;-3496;-2996}}	area_end

//The	characteristic	village	which	is	a	flag	10	(22_22)
area_begin	name=[giran_town_peace10]	map_no={22;22}	type=peace_zone	range={{85088;149126;-3599;-2999};{86468;149142;-3599;-2999};{86488;150240;-3599;-2999};{85089;150240;-3599;-2999}}	area_end

//The	characteristic	village	which	is	a	flag	11	(22_22)
area_begin	name=[giran_town_peace11]	map_no={22;22}	type=peace_zone	range={{83111;143502;-3410;-3210};{85038;143499;-3410;-3210};{85038;143856;-3410;-3210};{83111;143859;-3410;-3210}}	area_end



//The	green	onion	Oh	draw	before	the	shoes	-	the	Oak	start	it	dozed,	(18_14)
area_begin	name=[orc_start_peace]	map_no={18;14}	type=peace_zone	range={{-58952;-115543;-1483;516};{-52769;-115553;-1483;516};{-52758;-111736;-1483;516};{-58952;-111749;-1483;516}}	area_end

//Oak	village	1	(18_14)
area_begin	name=[orc_town_peace1]	map_no={18;14}	type=peace_zone	range={{-42044;-113585;-397;603};{-42533;-111862;-397;603};{-43811;-110599;-397;603};{-45614;-110071;-397;603};{-47375;-110007;-397;603};{-47397;-117215;-397;603};{-46661;-117220;-397;603};{-45633;-117094;-397;603};{-43791;-116569;-397;603};{-42530;-115322;-397;603}}	area_end

//Oak	village	2	(18_14)
area_begin	name=[orc_town_peace2]	map_no={18;14}	type=peace_zone	range={{-50211;-116941;-460;540};{-47413;-117301;-460;540};{-47358;-109913;-460;540};{-49161;-109305;-460;540};{-51245;-109819;-460;540};{-53401;-112501;-460;540};{-53788;-113966;-460;540};{-52931;-115293;-460;540}}	area_end

//The	mining	market	-	tu	we	phu	the	start	it	dozed,	(23_12)
area_begin	name=[dwarf_start]	map_no={23;12}	type=peace_zone	range={{110063;-175794;-652;348};{110565;-173944;-652;348};{110518;-173426;-652;348};{109153;-171575;-652;348};{106345;-171905;-652;348};{104853;-174391;-652;348};{105481;-176144;-652;348};{106031;-177035;-652;348};{107660;-177623;-652;348};{109208;-177140;-652;348}}	area_end

//tu	we	phu	Village	1	(23_12)
area_begin	name=[dwarf_town_peace1]	map_no={23;12}	type=peace_zone	range={{117520;-181718;-1600;-400};{117423;-180017;-1600;-400};{115371;-176774;-1600;-400};{114885;-176815;-1600;-400};{114070;-177180;-1600;-400};{113883;-179469;-1600;-400};{114580;-181875;-1600;-400}}	area_end

//tu	we	phu	Village	2	(23_12)
area_begin	name=[dwarf_town_peace2]	map_no={23;12}	type=peace_zone	range={{117630;-182925;-1685;-685};{115159;-182811;-1685;-685};{115477;-183673;-1685;-685};{115600;-183891;-1685;-685};{115740;-184086;-1685;-685};{115948;-184206;-1685;-685};{116257;-184251;-1685;-685};{116710;-184253;-1685;-685};{117023;-184164;-1685;-685};{117204;-184034;-1685;-685};{117335;-183812;-1685;-685};{117503;-183386;-1685;-685}}	area_end

//tu	we	phu	Village	3	(23_12)
area_begin	name=[dwarf_town_peace3]	map_no={23;12}	type=peace_zone	range={{114641;-183866;-1724;-724};{117517;-183140;-1724;-724};{117778;-182649;-1724;-724};{117775;-182246;-1724;-724};{117733;-182086;-1724;-724};{117432;-181576;-1724;-724};{114638;-181551;-1724;-724}}	area_end

//tu	we	phu	Village	4	(23_12)
area_begin	name=[dwarf_town_peace4]	map_no={23;12}	type=peace_zone	range={{116406;-176891;-1000;-400};{115964;-176809;-1000;-400};{115535;-176773;-1000;-400};{115142;-176788;-1000;-400};{115867;-178003;-1000;-400};{117355;-179595;-1000;-400};{117300;-178525;-1000;-400};{117172;-177847;-1000;-400};{116798;-177111;-1000;-400};{116643;-176968;-1000;-400}}	area_end

//tu	we	phu	Village	5	(23_12)
area_begin	name=[dwarf_town_peace5]	map_no={23;12}	type=peace_zone	range={{116649;-179760;-1257;-657};{117429;-180911;-1257;-657};{117493;-180052;-1257;-657};{117467;-179575;-1257;-657};{116977;-178211;-1257;-657};{116142;-178429;-1257;-657}}	area_end

//Five	leyn	characteristic	villages	(22_19)
area_begin	name=[oren_town_peace1]	map_no={22;19}	type=peace_zone	range={{78900;52076;-1822;-1022};{84126;52049;-1822;-1022};{84099;57117;-1822;-1022};{78872;57144;-1822;-1022}}	area_end

//Sang	A	Tab	(22_18)
area_begin	name=[ivory_tower_peace1]	map_no={22;18}	type=peace_zone	range={{86094;16382;-4652;347};{85888;16744;-4652;347};{85510;16968;-4652;347};{85139;16966;-4652;347};{84767;16736;-4652;347};{84576;16394;-4652;347};{84580;15977;-4652;347};{84783;15631;-4652;347};{85143;15417;-4652;347};{85499;15403;-4652;347};{85886;15642;-4652;347};{86049;15990;-4652;347}}	area_end

//Village	of	hunter	(23_20)
area_begin	name=[hunter_town_peace1]	map_no={23;20}	type=peace_zone	range={{120837;78996;-2749;-1249};{118917;80603;-2749;-1249};{116981;80412;-2749;-1249};{115383;79832;-2749;-1249};{114029;76721;-2749;-1249};{114670;74772;-2749;-1249};{115464;74131;-2749;-1249};{118488;74094;-2749;-1249};{120717;74271;-2749;-1249};{121548;76702;-2749;-1249}}	area_end
area_begin	name=[hunter_town_peace2]	map_no={23;20}	type=peace_zone	range={{118282;75682;-3204;-2104};{116502;77832;-3220;-2120};{115798;76370;-3244;-2144};{115864;75572;-3244;-2144};{116551;75298;-3244;-2144};{117247;75796;-3260;-2160};{118337;75525;-3188;-2188};{117798;76508;-3228;-2128}}	area_end

//Under	tin	company	Soog	(23_21)
area_begin	name=[hadin_peace1]	map_no={23;21}	type=peace_zone	range={{106216;112467;-3434;-2934};{106779;113174;-3434;-2934};{106759;114084;-3434;-2934};{106174;115069;-3434;-2934};{105181;115072;-3434;-2934};{104608;113714;-3434;-2934};{104782;112755;-3434;-2934};{105248;112466;-3434;-2934}}	area_end

//Oh	the	characteristic	village	which	is	burnt	(24_18)
area_begin	name=[aden_town_peace1]	map_no={24;18}	type=peace_zone	range={{150222;20224;-2532;-1032};{151214;21124;-2532;-1032};{151291;29988;-2532;-1032};{150278;30956;-2532;-1032};{144297;30912;-2532;-1032};{143434;30078;-2532;-1032};{143415;21117;-2532;-1032};{144415;20200;-2532;-1032}}	area_end

//Oh	the	characteristic	village	which	is	burnt	(24_18)
area_begin	name=[aden_town_peace2]	map_no={24;18}	type=peace_zone	range={{145783;30543;-2517;-1017};{149035;30552;-2517;-1017};{147953;31586;-2517;-1017};{147032;31586;-2517;-1017}}	area_end

//Oh	the	characteristic	village	which	is	burnt	(24_18)
area_begin	name=[aden_town_peace3]	map_no={24;18}	type=peace_zone	range={{151101;24718;-2215;-715};{151485;24715;-2215;-715};{151489;25546;-2215;-715};{151098;25549;-2215;-715}}	area_end

//Oh	the	characteristic	village	which	is	burnt	(24_18)
area_begin	name=[aden_town_peace4]	map_no={24;18}	type=peace_zone	range={{147162;19914;-2101;-601};{147775;19914;-2101;-601};{147834;20395;-2101;-601};{147099;20394;-2101;-601}}	area_end

//Oh	the	characteristic	village	which	is	burnt	(24_18)
area_begin	name=[aden_town_peace5]	map_no={24;18}	type=peace_zone	range={{143117;25953;-2456;-956};{143728;25712;-2456;-956};{143728;26882;-2456;-956};{143118;26712;-2456;-956}}	area_end

//End	island	harbor	Pi	Seu	Jon	1	(17_25)
area_begin	name=[speaking_port_peace1]	map_no={17;25}	type=peace_zone	range={{-96610;258814;-3684;-3484};{-96389;258748;-3684;-3484};{-96369;258787;-3684;-3484};{-96374;259051;-3684;-3484};{-96640;259059;-3684;-3484}}	area_end

//End	island	harbor	Pi	Seu	Jon	2	(17_25)
area_begin	name=[speaking_port_peace2]	map_no={17;25}	type=peace_zone	range={{-96561;258759;-3676;-3476};{-96411;258764;-3676;-3476};{-96553;259066;-3676;-3476};{-97256;259068;-3676;-3476};{-97245;258787;-3676;-3476}}	area_end

//End	island	harbor	Pi	Seu	Jon	3	(17_25)
area_begin	name=[speaking_port_peace3]	map_no={17;25}	type=peace_zone	range={{-96969;259036;-3672;-3472};{-96649;259036;-3672;-3472};{-96648;261414;-3672;-3472};{-96968;261414;-3672;-3472}}	area_end

//End	island	harbor	Pi	Seu	Jon	4	(17_25)
area_begin	name=[speaking_port_peace4]	map_no={17;25}	type=peace_zone	range={{-97161;259866;-3672;-3472};{-96961;259866;-3672;-3472};{-96961;260203;-3672;-3472};{-97161;260203;-3672;-3472}}	area_end

//End	island	harbor	Pi	Seu	Jon	5	(17_25)
area_begin	name=[speaking_port_peace5]	map_no={17;25}	type=peace_zone	range={{-96750;259679;-3679;-3479};{-96326;259679;-3679;-3479};{-96326;260400;-3679;-3479};{-96750;260400;-3679;-3479}}	area_end

//End	island	harbor	Pi	Seu	Jon	6	(17_25)
area_begin	name=[speaking_port_peace6]	map_no={17;25}	type=peace_zone	range={{-97290;261068;-3685;-3485};{-95888;261068;-3685;-3485};{-95888;261419;-3685;-3485};{-97290;261418;-3685;-3485}}	area_end

//End	island	harbor	Pi	Seu	Jon	7	(17_25)
area_begin	name=[speaking_port_peace7]	map_no={17;25}	type=peace_zone	range={{-97476;260763;-3681;-3481};{-97167;260763;-3681;-3481};{-97167;261419;-3681;-3481};{-97476;261419;-3681;-3481}}	area_end

//End	island	harbor	Pi	Seu	Jon	8	(17_25)
area_begin	name=[speaking_port_peace8]	map_no={17;25}	type=peace_zone	range={{-97237;259333;-3670;-3470};{-96923;259333;-3670;-3470};{-96923;259637;-3670;-3470};{-97237;259637;-3670;-3470}}	area_end

//Writing	lwu	tin	harbor	Pi	Seu	Jon	1	(17_22)
area_begin	name=[gludin_port1]	map_no={17;22}	type=peace_zone	range={{-92600;148457;-3708;-3508};{-90416;148372;-3708;-3508};{-90412;151666;-3708;-3508};{-92508;151678;-3708;-3508};{-93497;149244;-3708;-3508}}	area_end

//Writing	lwu	tin	harbor	Pi	Seu	Jon	2	(17_22)
area_begin	name=[glludin_port2]	map_no={17;22}	type=peace_zone	range={{-94294;148251;-3694;-3494};{-92763;148869;-3694;-3494};{-92437;152317;-3694;-3494};{-93461;153244;-3694;-3494};{-95444;151462;-3694;-3494};{-95446;149881;-3694;-3494};{-94588;148248;-3694;-3494}}	area_end

//Harbor	Pi	Seu	Jon	who	is	a	flag	1	(21_23)
area_begin	name=[giran_port1]	map_no={21;23}	type=peace_zone	range={{47189;185982;-3911;-3411};{49284;183651;-3911;-3411};{52767;186787;-3911;-3411};{49719;190044;-3911;-3411}}	area_end

//Harbor	Pi	Seu	Jon	who	is	a	flag	2	(21_23)
area_begin	name=[giran_port2]	map_no={21;23}	type=peace_zone	range={{45288;186705;-3811;-3311};{47947;185316;-3811;-3311};{50535;189487;-3811;-3311};{47639;191052;-3811;-3311}}	area_end

//Harbor	Pi	Seu	Jon	who	is	a	flag	3	(21_23)
area_begin	name=[giran_port3]	map_no={21;23}	type=peace_zone	range={{43935;187891;-3606;-3106};{45949;186815;-3606;-3106};{46215;187346;-3606;-3106};{44226;188420;-3606;-3106}}	area_end

//Harbor	Pi	Seu	Jon	who	is	a	flag	4	(21_23)
area_begin	name=[giran_port4]	map_no={21;23}	type=peace_zone	range={{41861;188551;-3814;-3314};{44221;187269;-3814;-3314};{46275;191156;-3814;-3314};{44031;192413;-3814;-3314}}	area_end

//It	drives	and	su	it	sprouts,	race	market	Pi	Seu	Jon	1	(20_23)
area_begin	name=[dion_monster_race1]	map_no={20;23}	type=peace_zone	range={{11714;181568;-3652;-3452};{14406;181571;-3652;-3452};{14405;182673;-3652;-3452};{11714;182673;-3652;-3452}}	area_end
area_begin	name=[dion_monster_race2]	map_no={20;23}	type=peace_zone	range={{13309;181324;-3610;-3410};{14061;181324;-3610;-3410};{14061;181610;-3610;-3410};{13309;181610;-3610;-3410}}	area_end
area_begin	name=[dion_monster_race3]	map_no={20;23}	type=peace_zone	range={{13559;182641;-3608;-3408};{14073;182640;-3608;-3408};{14073;182919;-3608;-3408};{13560;182918;-3608;-3408}}	area_end
area_begin	name=[dion_monster_race4]	map_no={20;23}	type=peace_zone	range={{12196;182662;-3612;-3412};{12447;182663;-3612;-3412};{12447;182766;-3612;-3412};{12197;182766;-3612;-3412}}	area_end
area_begin	name=[dion_monster_race5]	map_no={20;23}	type=peace_zone	range={{11706;182774;-3624;-3424};{13194;182769;-3624;-3424};{13194;183006;-3624;-3424};{11701;183017;-3624;-3424}}	area_end
area_begin	name=[dion_monster_race6]	map_no={20;23}	type=peace_zone	range={{11701;184017;-3616;-3416};{13188;184011;-3616;-3416};{13194;184265;-3616;-3416};{11701;184260;-3616;-3416}}	area_end
area_begin	name=[dion_monster_race7]	map_no={20;23}	type=peace_zone	range={{11697;183013;-3620;-3420};{11945;183019;-3620;-3420};{11940;184015;-3620;-3420};{11697;184015;-3620;-3420}}	area_end
area_begin	name=[dion_monster_race8]	map_no={20;23}	type=peace_zone	range={{12945;183013;-3624;-3424};{13193;183008;-3624;-3424};{13193;184009;-3624;-3424};{12945;184009;-3624;-3424}}	area_end
//It	drives	and	su	it	sprouts,	race	market	pvp
area_begin	name=[dion_monster_pvp]	map_no={20;23}	type=battle_zone	range={{11947;183019;-3596;-3396};{12937;183019;-3596;-3396};{12943;184010;-3596;-3396};{11941;184010;-3596;-3396}}	area_end



//Surface	city	high	your	su	Pi	Seu	Jon	1	(23_24)
area_begin	name=[heiness_peace1]	map_no={23;24}	type=peace_zone	range={{106085;216119;-4287;-3287};{116559;216118;-4287;-3287};{116533;229030;-4287;-3287};{106085;229015;-4287;-3287}}	area_end

//Surface	city	high	your	su	Pi	Seu	Jon	1	(23_24)
area_begin	name=[heiness_peace2]	map_no={23;24}	type=peace_zone	range={{103796;217964;-4128;-3128};{106602;217963;-4128;-3128};{106602;218361;-4128;-3128};{103796;218363;-4128;-3128}}	area_end

//Surface	city	high	your	su	Pi	Seu	Jon	1	(23_24)
area_begin	name=[heiness_peace3]	map_no={23;24}	type=peace_zone	range={{115950;219084;-4096;-3096};{118877;219084;-4096;-3096};{118879;219496;-4096;-3096};{115952;219498;-4096;-3096}}	area_end

//It	boils,	tu	characteristic	village	Pi	Seu	Jon	(24_16)
area_begin	name=[godad_peace1]	map_no={24;16}	type=peace_zone	range={{146517;-59854;-4928;1072};{148916;-59847;-4928;1072};{151301;-58338;-4928;1072};{152005;-56872;-4928;1072};{152043;-55010;-4928;1072};{150847;-51615;-4928;1072};{145228;-51601;-4928;1072};{143824;-54220;-4928;1072};{143444;-56732;-4928;1072};{144680;-58725;-4928;1072}}	area_end

//lwu	Fortune	characteristic	village	Pi	Seu	Jon	(21_16)
area_begin	name=[rune_peace1]	map_no={21;16}	type=peace_zone	range={{39503;-52761;-1516;484};{42159;-46969;-1516;484};{44445;-45865;-1516;484};{46202;-46919;-1516;484};{47212;-48809;-1516;484};{47224;-51046;-1516;484};{45845;-51986;-1516;484};{43334;-52810;-1516;484};{39608;-53505;-1516;484}}	area_end
area_begin	name=[rune_peace2]	map_no={21;16}	type=peace_zone	range={{43099;-38911;-7660;7340};{40028;-35494;-7660;7340};{37429;-35357;-7660;7340};{32846;-38149;-7660;7340};{32804;-50466;-7660;7340};{36348;-52427;-7660;7340};{39429;-52058;-7660;7340};{46334;-46534;-7660;7340}}	area_end

//	Primeval	Isle	Peace	Zone
area_begin	name=[primeval_isle_peace1]	map_no={20;17}	type=peace_zone	range={{4058;-23388;-4000;-3300};{5262;-24888;-4000;-3300};{9196;-25427;-4000;-3300};{11227;-25677;-4000;-3300};{11964;-25048;-4000;-3300};{12320;-23600;-4000;-3300};{11146;-22678;-4000;-3300};{9612;-22964;-4000;-3300};{8624;-22785;-4000;-3300};{7186;-22644;-4000;-3300};{3666;-22831;-4000;-3300}}	area_end

//The	place	it	dozed	unknown,	khu	lwu	E	ten	before	before	3	layer	bosses,	core	circumference	(20_21)
area_begin	name=[cruma_boss_damage_zone]	map_no={20;21}	type=damage	range={{17869;108566;-6519;-6319};{18071;108774;-6519;-6319};{18072;109060;-6519;-6319};{17865;109265;-6519;-6319};{17580;109264;-6519;-6319};{17379;109062;-6519;-6319};{17379;108774;-6519;-6319};{17584;108569;-6519;-6319}}	area_end

//Speed	of	travel	depreciation	and	gun	volition	ocean	(21_18)	base	of	five	lu	pens
area_begin	name=[spore_boss_swamp_zone]	map_no={21;18}	type=swamp	range={{43084;15944;-4468;-4118};{45140;15816;-4468;-4118};{45748;17200;-4468;-4118};{44504;18780;-4468;-4118};{43284;18952;-4468;-4118};{42476;18164;-4468;-4118};{42480;16448;-4468;-4118}}	area_end

//Attack	speed	depreciation	and	gun	volition	ocean	(21_18)	base	of	five	lu	pens
area_begin	name=[spore_boss_poison_zone]	map_no={21;18}	type=poison	range={{43084;15944;-4468;-4118};{45140;15816;-4468;-4118};{45748;17200;-4468;-4118};{44504;18780;-4468;-4118};{43284;18952;-4468;-4118};{42476;18164;-4468;-4118};{42480;16448;-4468;-4118}}	area_end

//The	writing	lwu	tin	duel	market	PvP	it	dozed	(17_22)
area_begin	name=[gludin_pvp]	map_no={17;22}	type=battle_zone	range={{-88411;141732;-3752;-3352};{-87429;141733;-3752;-3352};{-87429;142708;-3752;-3352};{-88408;142708;-3752;-3352}}	area_end

//Writing	lwu	tin	duel	market	Pi	Seu	Jon	(17_22)
area_begin	name=[gludin_pvp_peace_1]	map_no={17;22}	type=peace_zone	range={{-88445;141473;-3723;-3223};{-87166;141474;-3723;-3223};{-87166;141726;-3723;-3223};{-88441;141726;-3723;-3223}}	area_end

//Writing	lwu	tin	duel	market	Pi	Seu	Jon	(17_22)
area_begin	name=[gludin_pvp_peace_2]	map_no={17;22}	type=peace_zone	range={{-88666;141473;-3745;-3245};{-88417;141474;-3745;-3245};{-88414;142740;-3745;-3245};{-88666;142746;-3745;-3245}}	area_end

//Writing	lwu	tin	duel	market	Pi	Seu	Jon	(17_22)
area_begin	name=[gludin_pvp_peace_3]	map_no={17;22}	type=peace_zone	range={{-88665;142716;-3723;-3223};{-87165;142716;-3723;-3223};{-87165;142973;-3723;-3223};{-88667;142973;-3723;-3223}}	area_end

//Writing	lwu	tin	duel	market	Pi	Seu	Jon	(17_22)
area_begin	name=[gludin_pvp_peace_4]	map_no={17;22}	type=peace_zone	range={{-87418;141681;-3732;-3232};{-87165;141680;-3732;-3232};{-87166;142779;-3732;-3232};{-87416;142779;-3732;-3232}}	area_end

//The	duel	market	PvP	which	is	a	flag	it	dozed,	(22_22)
area_begin	name=[giran_pvp_battle]	map_no={22;22}	type=battle_zone	range={{72493;142263;-3850;-3350};{73493;142264;-3850;-3350};{73493;143261;-3850;-3350};{72495;143258;-3850;-3350}}	area_end

//Duel	market	Pi	Seu	Jon	who	is	a	flag	(22_22)
area_begin	name=[giran_pvp_peace1]	map_no={22;22}	type=peace_zone	range={{73490;142231;-3851;-3351};{73743;142232;-3851;-3351};{73741;143316;-3851;-3351};{73494;143312;-3851;-3351}}	area_end

//Duel	market	Pi	Seu	Jon	who	is	a	flag	(22_22)
area_begin	name=[giran_pvp_peace2]	map_no={22;22}	type=peace_zone	range={{72462;142013;-3855;-3355};{73744;142013;-3855;-3355};{73743;142268;-3855;-3355};{72461;142268;-3855;-3355}}	area_end

//Duel	market	Pi	Seu	Jon	who	is	a	flag	(22_22)
area_begin	name=[giran_pvp_peace3]	map_no={22;22}	type=peace_zone	range={{72244;142015;-3853;-3353};{72497;142012;-3853;-3353};{72497;143285;-3853;-3353};{72242;143280;-3853;-3353}}	area_end

//Duel	market	Pi	Seu	Jon	who	is	a	flag	(22_22)
area_begin	name=[giran_pvp_peace4]	map_no={22;22}	type=peace_zone	range={{72242;143255;-3856;-3356};{73743;143257;-3856;-3356};{73743;143513;-3856;-3356};{72243;143514;-3856;-3356}}	area_end

//The	PvP	which	it	builds	with	a	call	1	it	dozes	(24_19)
area_begin	name=[colosseum_battle1]	map_no={24;19}	type=battle_zone	range={{151252;45918;-3498;-3298};{151219;46182;-3498;-3298};{150677;46786;-3498;-3298};{148334;46788;-3498;-3298};{147748;46166;-3498;-3298};{147744;45916;-3498;-3298};{148238;45301;-3498;-3298};{150781;45307;-3498;-3298}}	area_end

//The	PvP	which	it	builds	with	a	call	2	it	dozes	(24_19)
area_begin	name=[colosseum_battle2]	map_no={24;19}	type=battle_zone	range={{151236;47268;-3498;-3298};{151255;47520;-3498;-3298};{150785;48132;-3498;-3298};{148258;48126;-3498;-3298};{147712;47532;-3498;-3298};{147728;47294;-3498;-3298};{148278;46707;-3498;-3298};{150697;46709;-3498;-3298}}	area_end

//The	PvP	which	it	builds	with	a	call	3	it	dozes	(24_19)
area_begin	name=[colosseum_battle3]	map_no={24;19}	type=battle_zone	range={{148047;46276;-3587;-3387};{150955;46276;-3587;-3387};{150956;47052;-3587;-3387};{148049;47053;-3587;-3387}}	area_end

//Pi	Seu	Jon	whom	it	builds	with	a	call	1	(24_19)
area_begin	name=[colosseum_peace1]	map_no={24;19}	type=peace_zone	range={{147779;46196;-3468;-3268};{148045;46481;-3468;-3268};{148047;46958;-3468;-3268};{147772;47256;-3468;-3268};{147078;47258;-3468;-3268};{147095;46203;-3468;-3268}}	area_end

//Pi	Seu	Jon	whom	it	builds	with	a	call	2	(24_19)
area_begin	name=[colosseum_peace2]	map_no={24;19}	type=peace_zone	range={{151221;46184;-3472;-3272};{151928;46183;-3472;-3272};{151925;47248;-3472;-3272};{151222;47262;-3472;-3272};{150952;46956;-3472;-3272};{150954;46486;-3472;-3272}}	area_end

//GM	prison	(16_10)
area_begin	name=[gm_prison]	map_no={16;10}	type=peace_zone	range={{-116390;-251581;-2992;-2792};{-112756;-251617;-2992;-2792};{-112720;-248199;-2992;-2792};{-116354;-248217;-2992;-2792}}	area_end


//Oh	the	characteristic	which	is	burnt	sul	the	Low	zone.	Forecast	compared	to	thik	with	80%	the	error	due	to	is	many,	effect	it	increases.
area_begin	name=[aden_slow_8]	map_no={24;18}	type=swamp	move_bonus=-80	default_status=off		event_id=2418008	range={{149084;7070;-560;-360};{149349;7069;-560;-360};{149349;7203;-560;-360};{149084;7204;-560;-360}}	area_end
area_begin	name=[aden_slow_7]	map_no={24;18}	type=swamp	move_bonus=-80	default_status=off		event_id=2418007	range={{149084;6942;-528;-328};{149349;6941;-528;-328};{149349;7075;-528;-328};{149084;7076;-528;-328}}	area_end
area_begin	name=[aden_slow_6]	map_no={24;18}	type=swamp	move_bonus=-80	default_status=off		event_id=2418006	range={{149084;6814;-528;-328};{149349;6813;-528;-328};{149349;6947;-528;-328};{149084;6948;-528;-328}}	area_end
area_begin	name=[aden_slow_5]	map_no={24;18}	type=swamp	move_bonus=-80	default_status=off		event_id=2418005	range={{149084;6686;-528;-328};{149349;6685;-528;-328};{149349;6819;-528;-328};{149084;6820;-528;-328}}	area_end
area_begin	name=[aden_slow_4]	map_no={24;18}	type=swamp	move_bonus=-80	default_status=off		event_id=2418004	range={{145548;7054;-528;-328};{145813;7053;-528;-328};{145813;7187;-528;-328};{145548;7188;-528;-328}}	area_end
area_begin	name=[aden_slow_3]	map_no={24;18}	type=swamp	move_bonus=-80	default_status=off		event_id=2418003	range={{145548;6926;-496;-296};{145813;6925;-496;-296};{145813;7059;-496;-296};{145548;7060;-496;-296}}	area_end
area_begin	name=[aden_slow_2]	map_no={24;18}	type=swamp	move_bonus=-80	default_status=off		event_id=2418002	range={{145548;6798;-496;-296};{145813;6797;-496;-296};{145813;6931;-496;-296};{145548;6932;-496;-296}}	area_end
